Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=0d10d8993d3cdfa9,HW/SW 분야 직무 교육 전문강사,서울 강남구,,통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI...
https://kr.indeed.com/viewjob?jk=1f61f1edb069d4f6,Sr. Corporate Application Engineer – Calibre DS,경기도 성남,,"Linux OS, and previous experience with scripting or Tcl/ Python/Perl programming preferred Familiar with Siemens EDA’s Calibre..."
https://kr.indeed.com/viewjob?jk=bb0df31dd8a98f90,(주)심심이 (데이터 분석이 가능한) 기획/운영자,서울 강남구,,"분석을 통한 insight 도출[이런 분이였으면 합니다] 확률/통계 기본 지식을 보유하신 분 SQL, Python 등의 언어로 간단한 코드를 짤 수 있는 분 (비개발자인 경우, 개발에 관한 기초적인 경험이 있는 분)[우대..."
https://kr.indeed.com/viewjob?jk=ff5b5fcb175a0edd,Vision AI Engineer,대한민국,,"좋아하고 팀원들과 소통하며 함께 성장하는 것을 추구하시는 분 다음 중 하나 이상의 언어에 능숙하신 분 ( Python/C, C++/Java/Object C/Swift/Kotlin) 우대사항 석사 또는 박사 학위를 보유하신 분..."
https://kr.indeed.com/viewjob?jk=1aa299b7e2ed3100,대기업 딥러닝 기반 영상처리 개발자 (판교),서울,"연봉 60,000,000원 - 70,000,000원","Pytorch- Python, C/C++, Docker C/C++/C#... 머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>시스템프로그래머>임베디드(Embedded)"
https://kr.indeed.com/viewjob?jk=a6bf6722793470cf,카카오 지갑/인증 플랫폼 서버 개발자 모집,성남 판교역,,"Docker를 이용한 서비스 운영 경험 테스트 구축, 지속적인 구조 개선 경험 웹 Front End 개발 경험 Python 을 사용한 서비스 개발 경험 필독사항 ※ 카카오 테크 직군의 경우, 개발 경력 1년 미만일 시..."
https://kr.indeed.com/viewjob?jk=9099b0cbccb5f25d,[정규직] 소프트웨어 / AI개발,서울 영등포구,,이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝
https://kr.indeed.com/viewjob?jk=f54e1484328f5d3c,"언리얼, 모바일 등의 C++ 플랫폼에 머신러닝 서비스 및 알고리즘 적용 모집",성남 판교역,,"Native - Machine Learning, TensorFlow, PyTorch, CUDA - Go, Python, JavaScript, C++, Rust - Game Development - Linux, macOS..."
https://kr.indeed.com/viewjob?jk=bc5131eb1f2981cb,이공지능(AI) / 딥러닝 / Computer Vision 경력자 정규직,서울 서초구,,관련분야 석사 학위 이상 또는 개발 경험 2년 이상 • C++ / Python / OpenCV 개발 경험 [우대사항] • 딥러닝/컴퓨터버젼 관련... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=8b5826f367d5c122,렌더링 엔진 개발자 모집,성남 백현동,,"디자인 패턴, ReactiveX 활용 경험 - Java, Swift(Objective C), Lua, Python 등 다양한 언어 경험 - Computer Graphics 이해 - Image Processing 이해..."
https://kr.indeed.com/viewjob?jk=752a4b5d63eac97c,Sr. Back-end Engineer (Python),서울 강남구,,"관리합니다. 개발 언어 : Python 개발 환경 및 도구 : Django... 이상의 백엔드 개발 경험, 또는 이에 준하는 역량을 가지신 분 Python 및 Python web framework를 활용한 백엔드 개발에 거부감이..."
